id,title,year,runtime,genre,imdb_rating,metascore,num_votes,gross
tt0114709,Toy Story,1995,81 min,"Animation, Adventure, Comedy",8.3,96,1002177,$191.80M
tt0167404,The Sixth Sense - Nicht jede Gabe ist ein Segen,1999,107 min,"Drama, Mystery, Thriller",8.2,64,999084,$293.51M
tt0107290,Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",8.2,68,997982,$402.45M
tt0264464,Catch Me If You Can,2002,141 min,"Biography, Crime, Drama",8.1,75,997084,$164.62M
tt2267998,Gone Girl - Das perfekte Opfer,2014,149 min,"Drama, Mystery, Thriller",8.1,79,992978,$167.77M
tt0477348,No Country for Old Men,2007,122 min,"Crime, Drama, Thriller",8.2,92,984020,$74.28M
tt0119217,Good Will Hunting: Der gute Will Hunting,1997,126 min,"Drama, Romance",8.3,70,982771,$138.43M
tt0082971,Jäger des verlorenen Schatzes,1981,115 min,"Action, Adventure",8.4,85,973717,$248.16M
tt0268978,A Beautiful Mind: Genie und Wahnsinn,2001,135 min,"Biography, Drama",8.2,72,939213,$170.74M
tt2488496,Star Wars - Episode VII: Das Erwachen der Macht,2015,138 min,"Action, Adventure, Sci-Fi",7.8,80,937515,$936.66M
tt1392170,Die Tribute von Panem - The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi",7.2,68,927159,$408.01M
tt0198781,Die Monster AG,2001,92 min,"Animation, Adventure, Comedy",8.1,79,917786,$289.92M
tt0095016,Stirb langsam,1988,132 min,"Action, Thriller",8.2,72,891514,$83.01M
tt0078748,Alien - Das unheimliche Wesen aus einer fremden Welt,1979,117 min,"Horror, Sci-Fi",8.5,89,890138,$78.90M
tt1201607,Harry Potter und die Heiligtümer des Todes - Teil 2,2011,130 min,"Adventure, Family, Fantasy",8.1,85,885093,$381.01M
tt2582802,Whiplash,2014,106 min,"Drama, Music",8.5,89,877307,$13.09M
tt0088247,Terminator,1984,107 min,"Action, Sci-Fi",8.1,84,873430,$38.40M
tt2395427,Avengers: Age of Ultron,2015,141 min,"Action, Adventure, Sci-Fi",7.3,66,871911,$459.01M
tt1675434,Ziemlich beste Freunde,2011,112 min,"Biography, Comedy, Drama",8.5,57,866913,$13.18M
tt3659388,Der Marsianer: Rettet Mark Watney,2015,144 min,"Adventure, Drama, Sci-Fi",8,80,864873,$228.43M
tt0208092,Snatch: Schweine und Diamanten,2000,104 min,"Comedy, Crime",8.2,55,863199,$30.33M
tt1300854,Iron Man 3,2013,130 min,"Action, Adventure, Sci-Fi",7.1,62,857905,$409.01M
tt0800369,Thor,2011,115 min,"Action, Fantasy",7,57,856962,$181.03M
tt1843866,The Return of the First Avenger,2014,136 min,"Action, Adventure, Sci-Fi",7.8,70,853889,$259.77M
tt0458339,Captain America: The First Avenger,2011,124 min,"Action, Adventure, Sci-Fi",6.9,66,852786,$176.65M
tt1010048,Slumdog Millionär,2008,120 min,"Crime, Drama, Romance",8,84,851356,$141.32M
tt0086250,Scarface,1983,170 min,"Crime, Drama",8.3,65,850453,$45.60M
tt0180093,Requiem for a Dream,2000,102 min,Drama,8.3,71,849686,$3.64M
tt0075314,Taxi Driver,1976,114 min,"Crime, Drama",8.2,94,843656,$28.26M
tt0435761,Toy Story 3,2010,103 min,"Animation, Adventure, Comedy",8.3,92,843022,$415.00M
tt0253474,Der Pianist,2002,150 min,"Biography, Drama, Music",8.5,85,840403,$32.57M
tt0066921,Uhrwerk Orange,1971,136 min,"Crime, Sci-Fi",8.3,77,836665,$6.21M
tt0903624,Der Hobbit: Eine unerwartete Reise,2012,169 min,Fantasy,7.8,58,835569,$303.00M
tt1454468,Gravity,2013,91 min,"Drama, Sci-Fi, Thriller",7.7,96,833095,$274.09M
tt0416449,300,2006,117 min,"Action, Drama",7.6,52,827586,$210.61M
tt0145487,Spider-Man,2002,121 min,"Action, Adventure, Sci-Fi",7.4,73,825847,$403.71M
tt1228705,Iron Man 2,2010,124 min,"Action, Sci-Fi",6.9,57,825236,$312.43M
tt2278388,Grand Budapest Hotel,2014,99 min,"Adventure, Comedy, Crime",8.1,88,821260,$59.10M
tt6751668,Parasite,2019,132 min,"Drama, Thriller",8.5,96,821244,$53.37M
tt0118715,The Big Lebowski,1998,117 min,"Comedy, Crime",8.1,71,815915,$17.50M
tt1663202,The Revenant - Der Rückkehrer,2015,156 min,"Action, Adventure, Drama",8,76,814512,$183.64M
tt0120915,Star Wars: Episode I - Die dunkle Bedrohung,1999,136 min,"Action, Adventure, Fantasy",6.5,51,813294,$474.54M
tt0246578,Donnie Darko,2001,113 min,"Drama, Mystery, Sci-Fi",8,88,809385,$1.48M
tt0121766,Star Wars: Episode III - Die Rache der Sith,2005,140 min,"Action, Adventure, Fantasy",7.6,68,799741,$380.26M
tt0050083,Die zwölf Geschworenen,1957,96 min,"Crime, Drama",9,97,797699,$4.36M
tt3498820,The First Avenger: Civil War,2016,147 min,"Action, Sci-Fi",7.8,75,796785,$408.08M
tt1119646,Hangover,2009,100 min,Comedy,7.7,73,794640,$277.32M
tt0241527,Harry Potter und der Stein der Weisen,2001,152 min,"Adventure, Family, Fantasy",7.6,65,791975,$317.58M
tt1825683,Black Panther,2018,134 min,"Action, Adventure, Sci-Fi",7.3,88,785053,$700.06M
tt1205489,Gran Torino,2008,116 min,Drama,8.1,72,781410,$148.10M
tt2084970,The Imitation Game: Ein streng geheimes Leben,2014,114 min,"Biography, Drama, Thriller",8,71,778316,$91.13M
tt0770828,Man of Steel,2013,143 min,"Action, Adventure, Sci-Fi",7.1,55,777761,$291.05M
tt0083658,Der Blade Runner,1982,117 min,"Action, Drama, Sci-Fi",8.1,84,777259,$32.87M
tt0947798,Black Swan,2010,108 min,"Drama, Thriller",8,79,776321,$106.95M
tt0401792,Sin City,2005,124 min,"Crime, Thriller",8,74,774019,$74.10M
tt3315342,Logan: The Wolverine,2017,137 min,"Action, Drama, Sci-Fi",8.1,77,772542,$226.28M
tt0245429,Chihiros Reise ins Zauberland,2001,125 min,"Animation, Adventure, Family",8.6,96,772417,$10.06M
tt10872600,Spider-Man: No Way Home,2021,148 min,"Action, Adventure, Fantasy",8.2,71,769869,$804.75M
tt0480249,I Am Legend,2007,101 min,"Action, Drama, Horror",7.2,65,767985,$256.39M
tt0060196,Zwei glorreiche Halunken,1966,161 min,"Adventure, Western",8.8,90,767154,$6.10M
tt0378194,Kill Bill: Vol. 2,2004,137 min,"Action, Crime, Thriller",8,83,764072,$66.21M
tt0211915,Die fabelhafte Welt der Amelie,2001,122 min,"Comedy, Romance",8.3,69,761908,$33.23M
tt0317248,City of God,2002,130 min,"Crime, Drama",8.6,79,761807,$7.56M
tt3501632,Thor: Tag der Entscheidung,2017,130 min,"Action, Adventure, Comedy",7.9,74,761445,$315.06M
tt0097576,Indiana Jones und der letzte Kreuzzug,1989,127 min,"Action, Adventure",8.2,65,761355,$197.17M
tt7131622,Once Upon a Time In... Hollywood,2019,161 min,"Comedy, Drama",7.6,83,755179,$142.50M
tt1211837,Doctor Strange,2016,115 min,"Action, Adventure, Fantasy",7.5,72,751689,$232.64M
tt0093058,Full Metal Jacket,1987,116 min,"Drama, War",8.3,76,748662,$46.36M
tt0382932,Ratatouille,2007,111 min,"Animation, Adventure, Comedy",8.1,96,748440,$206.45M
tt0892769,Drachenzähmen leicht gemacht,2010,98 min,"Animation, Action, Adventure",8.1,75,748279,$217.58M
tt0317705,Die Unglaublichen,2004,115 min,"Animation, Action, Adventure",8,90,747042,$261.44M
tt1392214,Prisoners,2013,153 min,"Crime, Drama, Mystery",8.1,70,727983,$61.00M
tt0383574,Pirates of the Caribbean - Fluch der Karibik 2,2006,151 min,"Action, Adventure, Fantasy",7.3,53,726958,$423.32M
tt0090605,Alien 2 - Die Rückkehr,1986,137 min,"Action, Adventure, Sci-Fi",8.4,84,723509,$85.16M
tt2096673,Alles steht Kopf,2015,95 min,"Animation, Adventure, Comedy",8.2,94,722253,$356.46M
tt0121765,Star Wars: Episode II - Angriff der Klonkrieger,2002,142 min,"Action, Adventure, Fantasy",6.6,54,718832,$310.68M
tt1877832,X-Men: Zukunft ist Vergangenheit,2014,132 min,"Action, Adventure, Sci-Fi",7.9,75,718224,$233.92M
tt1045658,Silver Linings,2012,122 min,"Comedy, Drama, Romance",7.7,81,715344,$132.09M
tt1285016,The Social Network,2010,120 min,"Biography, Drama",7.8,95,711870,$96.96M
tt2024544,12 Years a Slave,2013,134 min,"Biography, Drama, History",8.1,96,707094,$56.67M
tt2543164,Arrival,2016,116 min,"Drama, Mystery, Sci-Fi",7.9,81,705289,$100.55M
tt2975590,Batman v Superman: Dawn of Justice,2016,151 min,"Action, Adventure, Sci-Fi",6.4,44,705012,$330.36M
tt8946378,Knives Out: Mord ist Familiensache,2019,130 min,"Comedy, Crime, Drama",7.9,82,704766,$165.36M
tt1074638,James Bond 007: Skyfall,2012,143 min,"Action, Adventure, Thriller",7.8,81,703193,$304.36M
tt0118799,Das Leben ist schön,1997,116 min,"Comedy, Drama, Romance",8.6,59,701075,$57.60M
tt1270798,X-Men: Erste Entscheidung,2011,131 min,"Action, Sci-Fi",7.7,65,698478,$146.41M
tt0117951,Trainspotting - Neue Helden,1996,93 min,Drama,8.1,83,693064,$16.50M
tt0405159,Million Dollar Baby,2004,132 min,"Drama, Sport",8.1,86,692522,$100.49M
tt1386697,Suicide Squad,2016,123 min,"Action, Adventure, Fantasy",5.9,40,691904,$325.10M
tt3896198,Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Comedy",7.6,67,690493,$389.81M
tt1981115,Thor: The Dark Kingdom,2013,112 min,"Action, Adventure, Fantasy",6.8,54,690006,$206.36M
tt1136608,District 9,2009,112 min,"Action, Sci-Fi, Thriller",7.9,81,688138,$115.65M
tt0126029,Shrek - Der tollkühne Held,2001,90 min,"Animation, Adventure, Comedy",7.9,84,687479,$267.67M
tt1631867,Edge of Tomorrow - Live. Die. Repeat,2014,113 min,"Action, Adventure, Sci-Fi",7.9,71,687386,$100.21M
tt1504320,The King's Speech - Die Rede des Königs,2010,118 min,"Biography, Drama, History",8,88,685651,$138.80M
tt0116282,Fargo: Blutiger Schnee,1996,98 min,"Crime, Thriller",8.1,85,684339,$24.61M
tt0054215,Psycho,1960,109 min,"Horror, Mystery, Thriller",8.5,97,677313,$32.00M
tt0816711,World War Z,2013,116 min,"Action, Adventure, Horror",7,63,676172,$202.36M
tt2802144,Kingsman: The Secret Service,2014,129 min,"Action, Adventure, Comedy",7.7,60,675275,$128.26M
tt0478970,Ant-Man,2015,117 min,"Action, Comedy, Sci-Fi",7.3,64,675064,$180.20M
tt0062622,2001: Odyssee im Weltraum,1968,149 min,"Adventure, Sci-Fi",8.3,84,675055,$56.95M
tt0457430,Pans Labyrinth,2006,118 min,"Drama, Fantasy, War",8.2,98,674178,$37.63M
tt0078788,Apocalypse Now,1979,147 min,"Drama, Mystery, War",8.5,94,673139,$83.47M
tt1951264,Die Tribute von Panem - Catching Fire,2013,146 min,"Action, Adventure, Sci-Fi",7.5,76,672139,$424.67M
tt1877830,The Batman,2022,176 min,"Action, Crime, Drama",7.8,72,671289,NA
tt1170358,Der Hobbit: Smaugs Einöde,2013,161 min,Fantasy,7.8,66,671005,$258.37M
tt5013056,Dunkirk,2017,106 min,"Action, Drama, History",7.8,94,669378,$188.37M
tt1670345,Die Unfassbaren - Now You See Me,2013,115 min,"Crime, Mystery, Thriller",7.2,50,668503,$117.72M
